intervencion,radio_establecido_km,ubigeo_intervencion,distrito_intervencion_completo,ranking,nombre_cultivo,total_freq_año_previo,total_freq_año_post,num_distritos_capturados,distritos_vecinos
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",2,cebolla,43,41,12,"AREQUIPA (AREQUIPA, AREQUIPA) || CERRO COLORADO (AREQUIPA, AREQUIPA) || JACOBO HUNTER (AREQUIPA, AREQUIPA) || LA JOYA (AREQUIPA, AREQUIPA) || SACHACA (AREQUIPA, AREQUIPA) || SOCABAYA (AREQUIPA, AREQUIPA) || TIABAYA (AREQUIPA, AREQUIPA) || UCHUMAYO (AREQUIPA, AREQUIPA) || VITOR (AREQUIPA, AREQUIPA) || YANAHUARA (AREQUIPA, AREQUIPA) || YARABAMBA (AREQUIPA, AREQUIPA) || YURA (AREQUIPA, AREQUIPA)"
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",3,papa blanca,30,50,12,"AREQUIPA (AREQUIPA, AREQUIPA) || CERRO COLORADO (AREQUIPA, AREQUIPA) || JACOBO HUNTER (AREQUIPA, AREQUIPA) || LA JOYA (AREQUIPA, AREQUIPA) || SACHACA (AREQUIPA, AREQUIPA) || SOCABAYA (AREQUIPA, AREQUIPA) || TIABAYA (AREQUIPA, AREQUIPA) || UCHUMAYO (AREQUIPA, AREQUIPA) || VITOR (AREQUIPA, AREQUIPA) || YANAHUARA (AREQUIPA, AREQUIPA) || YARABAMBA (AREQUIPA, AREQUIPA) || YURA (AREQUIPA, AREQUIPA)"
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",4,ajo,29,16,12,"AREQUIPA (AREQUIPA, AREQUIPA) || CERRO COLORADO (AREQUIPA, AREQUIPA) || JACOBO HUNTER (AREQUIPA, AREQUIPA) || LA JOYA (AREQUIPA, AREQUIPA) || SACHACA (AREQUIPA, AREQUIPA) || SOCABAYA (AREQUIPA, AREQUIPA) || TIABAYA (AREQUIPA, AREQUIPA) || UCHUMAYO (AREQUIPA, AREQUIPA) || VITOR (AREQUIPA, AREQUIPA) || YANAHUARA (AREQUIPA, AREQUIPA) || YARABAMBA (AREQUIPA, AREQUIPA) || YURA (AREQUIPA, AREQUIPA)"
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",5,arveja grano verde,27,25,12,"AREQUIPA (AREQUIPA, AREQUIPA) || CERRO COLORADO (AREQUIPA, AREQUIPA) || JACOBO HUNTER (AREQUIPA, AREQUIPA) || LA JOYA (AREQUIPA, AREQUIPA) || SACHACA (AREQUIPA, AREQUIPA) || SOCABAYA (AREQUIPA, AREQUIPA) || TIABAYA (AREQUIPA, AREQUIPA) || UCHUMAYO (AREQUIPA, AREQUIPA) || VITOR (AREQUIPA, AREQUIPA) || YANAHUARA (AREQUIPA, AREQUIPA) || YARABAMBA (AREQUIPA, AREQUIPA) || YURA (AREQUIPA, AREQUIPA)"
Intervención 2023,15,200104,"CASTILLA (PIURA, PIURA)",1,mango,70,88,4,"PIURA (PIURA, PIURA) || CASTILLA (PIURA, PIURA) || CATACAOS (PIURA, PIURA) || TAMBO GRANDE (PIURA, PIURA)"
Intervención 2023,15,200104,"CASTILLA (PIURA, PIURA)",2,limon acido,62,89,4,"PIURA (PIURA, PIURA) || CASTILLA (PIURA, PIURA) || CATACAOS (PIURA, PIURA) || TAMBO GRANDE (PIURA, PIURA)"
Intervención 2023,15,200104,"CASTILLA (PIURA, PIURA)",3,arroz cascara,47,38,4,"PIURA (PIURA, PIURA) || CASTILLA (PIURA, PIURA) || CATACAOS (PIURA, PIURA) || TAMBO GRANDE (PIURA, PIURA)"
Intervención 2023,15,200104,"CASTILLA (PIURA, PIURA)",4,maiz amarillo duro,45,40,4,"PIURA (PIURA, PIURA) || CASTILLA (PIURA, PIURA) || CATACAOS (PIURA, PIURA) || TAMBO GRANDE (PIURA, PIURA)"
Intervención 2023,15,200104,"CASTILLA (PIURA, PIURA)",5,frijol caupi grano seco,12,18,4,"PIURA (PIURA, PIURA) || CASTILLA (PIURA, PIURA) || CATACAOS (PIURA, PIURA) || TAMBO GRANDE (PIURA, PIURA)"
Intervención 2023,15,211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",1,platano,170,14,4,"SAN JUAN DEL ORO (SANDIA, PUNO) || YANAHUAYA (SANDIA, PUNO) || ALTO INAMBARI (SANDIA, PUNO) || SAN PEDRO DE PUTINA PUNCO (SANDIA, PUNO)"
Intervención 2023,15,211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",2,mandarina,151,14,4,"SAN JUAN DEL ORO (SANDIA, PUNO) || YANAHUAYA (SANDIA, PUNO) || ALTO INAMBARI (SANDIA, PUNO) || SAN PEDRO DE PUTINA PUNCO (SANDIA, PUNO)"
Intervención 2023,15,211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",3,cafe pergamino,126,10,4,"SAN JUAN DEL ORO (SANDIA, PUNO) || YANAHUAYA (SANDIA, PUNO) || ALTO INAMBARI (SANDIA, PUNO) || SAN PEDRO DE PUTINA PUNCO (SANDIA, PUNO)"
Intervención 2023,15,211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",4,naranjo,111,14,4,"SAN JUAN DEL ORO (SANDIA, PUNO) || YANAHUAYA (SANDIA, PUNO) || ALTO INAMBARI (SANDIA, PUNO) || SAN PEDRO DE PUTINA PUNCO (SANDIA, PUNO)"
Intervención 2023,15,211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",5,coca,72,28,4,"SAN JUAN DEL ORO (SANDIA, PUNO) || YANAHUAYA (SANDIA, PUNO) || ALTO INAMBARI (SANDIA, PUNO) || SAN PEDRO DE PUTINA PUNCO (SANDIA, PUNO)"
Intervención 2023,15,240101,"TUMBES (TUMBES, TUMBES)",1,arroz cascara,746,708,8,"TUMBES (TUMBES, TUMBES) || CORRALES (TUMBES, TUMBES) || PAMPAS DE HOSPITAL (TUMBES, TUMBES) || SAN JACINTO (TUMBES, TUMBES) || SAN JUAN DE LA VIRGEN (TUMBES, TUMBES) || ZARUMILLA (ZARUMILLA, TUMBES) || MATAPALO (ZARUMILLA, TUMBES) || PAPAYAL (ZARUMILLA, TUMBES)"
Intervención 2023,15,240101,"TUMBES (TUMBES, TUMBES)",2,platano,545,222,8,"TUMBES (TUMBES, TUMBES) || CORRALES (TUMBES, TUMBES) || PAMPAS DE HOSPITAL (TUMBES, TUMBES) || SAN JACINTO (TUMBES, TUMBES) || SAN JUAN DE LA VIRGEN (TUMBES, TUMBES) || ZARUMILLA (ZARUMILLA, TUMBES) || MATAPALO (ZARUMILLA, TUMBES) || PAPAYAL (ZARUMILLA, TUMBES)"
Intervención 2023,15,240101,"TUMBES (TUMBES, TUMBES)",3,limon acido,248,188,8,"TUMBES (TUMBES, TUMBES) || CORRALES (TUMBES, TUMBES) || PAMPAS DE HOSPITAL (TUMBES, TUMBES) || SAN JACINTO (TUMBES, TUMBES) || SAN JUAN DE LA VIRGEN (TUMBES, TUMBES) || ZARUMILLA (ZARUMILLA, TUMBES) || MATAPALO (ZARUMILLA, TUMBES) || PAPAYAL (ZARUMILLA, TUMBES)"
Intervención 2023,15,240101,"TUMBES (TUMBES, TUMBES)",4,mango,234,101,8,"TUMBES (TUMBES, TUMBES) || CORRALES (TUMBES, TUMBES) || PAMPAS DE HOSPITAL (TUMBES, TUMBES) || SAN JACINTO (TUMBES, TUMBES) || SAN JUAN DE LA VIRGEN (TUMBES, TUMBES) || ZARUMILLA (ZARUMILLA, TUMBES) || MATAPALO (ZARUMILLA, TUMBES) || PAPAYAL (ZARUMILLA, TUMBES)"
Intervención 2023,15,240101,"TUMBES (TUMBES, TUMBES)",5,naranjo,81,18,8,"TUMBES (TUMBES, TUMBES) || CORRALES (TUMBES, TUMBES) || PAMPAS DE HOSPITAL (TUMBES, TUMBES) || SAN JACINTO (TUMBES, TUMBES) || SAN JUAN DE LA VIRGEN (TUMBES, TUMBES) || ZARUMILLA (ZARUMILLA, TUMBES) || MATAPALO (ZARUMILLA, TUMBES) || PAPAYAL (ZARUMILLA, TUMBES)"
